year,id,cnt_crime,cnt_cctv,dense_population,cnt_light,cnt_police,female_population,cnt_notify,cnt_population,region
2015,0,8617,830,14728,8988,25,282162,169303,581760,gangnam
2015,1,5244,154,18842,8651,20,223788,94193,463321,gangdong
2015,2,4257,124,14172,6977,13,163606,79634,334426,gangbuk
2015,3,5585,199,14376,5299,16,292237,116561,595691,gangseo
2015,4,6345,609,17891,4981,11,257655,113627,529031,gwanak
2015,5,5909,98,21987,7890,23,187552,92547,375180,gwangjin
2015,6,5646,268,22596,5392,19,221847,89610,454604,guro
2015,7,3781,361,19675,5301,26,122654,68027,256167,geumcheon
2015,8,5130,514,16317,4360,16,288868,32992,578221,nowon
2015,9,2664,172,17056,4400,11,173908,96246,353241,dobong
2015,10,4720,115,26301,8745,20,183598,58027,373824,dongdaemun
2015,11,4074,128,25240,6835,22,207292,71189,412774,dongjak
2015,12,5854,185,16706,5467,12,198673,110374,398351,mapo
2015,13,4029,137,18351,7428,19,160812,68579,323105,seodaemun
2015,14,5444,562,9601,7209,19,218963,99429,451258,seocho
2015,15,3358,325,18093,6540,14,148674,58252,305065,seongdong
2015,16,4154,322,19104,7365,19,234983,79826,469560,seongbuk
2015,17,6778,214,19704,4736,13,325605,134780,667480,songpa
2015,18,4528,246,28098,8679,17,235634,79155,489010,yangcheon
2015,19,6867,209,17033,4641,17,202727,118640,417811,yeongdeungpo
2015,20,3820,221,11337,4964,21,117302,73050,247909,yongsan
2015,21,4745,329,16920,11143,21,245665,88986,502578,eunpyeong
2015,22,4705,150,6851,12184,25,82011,77520,163822,jongno
2015,23,4954,236,13486,11225,22,65260,132963,134329,jung
2015,24,5193,132,22633,7232,18,203301,92500,418620,jungnang
2016,25,8149,1293,14484,8988,25,277824,167991,572140,gangnam
2016,26,4462,202,18238,8621,21,216517,87446,448471,gangdong
2016,27,4229,251,14015,7206,13,161805,76723,330704,gangbuk
2016,28,5450,168,14531,5712,16,294766,111972,602104,gangseo
2016,29,5678,622,17776,4925,11,255824,108733,525607,gwanak
2016,30,5322,52,21807,8019,22,186121,88093,372104,gwangjin
2016,31,5366,326,22347,5682,19,220938,86042,449600,guro
2016,32,3645,133,19560,5288,26,121548,64011,254654,geumcheon
2016,33,4543,331,16119,4440,16,285362,31841,571212,nowon
2016,34,2438,123,16948,4405,11,172338,90428,350272,dobong
2016,35,4787,804,26050,9267,20,181650,56850,370312,dongdaemun
2016,36,3227,253,25269,6455,22,206222,68460,413247,dongjak
2016,37,5873,478,16394,5667,12,195949,108067,390887,mapo
2016,38,3665,223,18506,7645,18,168502,68122,325871,seodaemun
2016,39,4989,504,9610,7206,18,218620,99020,451477,seocho
2016,40,3026,255,18218,6569,14,148809,54597,307161,seongdong
2016,41,3744,594,18781,7419,20,233194,76671,461617,seongbuk
2016,42,6090,176,19629,5354,13,322718,125015,664946,songpa
2016,43,4112,424,27681,9157,16,233340,76584,481845,yangcheon
2016,44,6322,248,16583,5328,17,198978,113566,406779,yeongdeungpo
2016,45,4137,298,11209,4897,21,116473,70451,245102,yongsan
2016,46,4501,555,16696,11622,20,243027,86372,495937,eunpyeong
2016,47,4459,0,6771,13826,25,78778,76078,161922,jongno
2016,48,4584,240,13494,12054,22,65646,129730,134409,jung
2016,49,5041,155,22474,7411,18,201442,84880,415677,jungnang
2017,50,7720,988,14203,8986,25,272427,170135,561052,gangnam
2017,51,4261,273,17909,8641,20,214047,89844,440359,gangdong
2017,52,3393,29,13898,7291,13,161234,74852,328002,gangbuk
2017,53,5135,506,14679,5662,16,298997,113142,608255,gangseo
2017,54,5525,688,17617,4852,12,254365,107344,520929,gwanak
2017,55,4646,675,21819,8096,22,186778,86536,372298,gwangjin
2017,56,4895,540,21946,5698,19,218441,84232,441559,guro
2017,57,3265,196,19469,5373,26,122678,62881,253491,geumcheon
2017,58,4209,175,15748,4445,16,279844,29090,558075,nowon
2017,59,1999,129,16752,4464,11,170642,89620,346234,dobong
2017,60,3975,814,25748,9308,20,180920,53738,366011,dongdaemun
2017,61,3330,271,24978,6554,22,204983,68870,408493,dongjak
2017,62,5278,365,16174,5848,12,193515,107729,385783,mapo
2017,63,3113,356,18440,7941,18,170213,65081,325028,seodaemun
2017,64,4708,1041,9480,7198,18,216309,99341,445401,seocho
2017,65,2767,967,18551,6691,13,153307,54525,312711,seongdong
2017,66,3434,890,18533,7413,18,230349,74954,455407,seongbuk
2017,67,5576,241,19813,5369,13,326230,124214,671173,songpa
2017,68,3882,577,27289,9209,16,229608,74245,475018,yangcheon
2017,69,5969,311,16377,5483,18,196631,109398,402024,yeongdeungpo
2017,70,4060,351,11179,4895,21,115427,73034,244444,yongsan
2017,71,3883,403,16534,11699,21,240430,83841,491202,eunpyeong
2017,72,4057,261,6869,14193,26,80607,75499,164257,jongno
2017,73,4184,372,13514,12586,22,65701,127628,134593,jung
2017,74,4571,153,22318,7891,18,200546,84987,412780,jungnang
2018,75,7513,745,13859,9220,25,264231,168832,547453,gangnam
2018,76,3919,377,17564,8694,20,209479,86513,431920,gangdong
2018,77,3437,391,13683,7248,13,159110,74597,322915,gangbuk
2018,78,4629,259,14567,5780,16,297910,113955,603611,gangseo
2018,79,5026,674,17587,4774,13,254616,112146,520040,gwanak
2018,80,3915,465,21746,8149,21,186542,86467,371063,gwangjin
2018,81,4810,488,21793,5729,18,216679,84500,438486,guro
2018,82,3293,539,19510,5301,26,122066,66503,254021,geumcheon
2018,83,4007,216,15468,4525,15,275359,28691,548160,nowon
2018,84,2249,222,16531,4471,10,168674,88372,341649,dobong
2018,85,3680,201,25630,9270,19,181818,53912,364338,dongdaemun
2018,86,3100,300,25032,6428,22,204267,66963,409385,dongjak
2018,87,5172,373,16199,6075,13,193987,108969,386359,mapo
2018,88,2802,237,18331,8177,18,169436,63091,323080,seodaemun
2018,89,4726,417,9326,7833,16,213427,98734,438163,seocho
2018,90,2457,415,18771,6682,13,156173,56414,316463,seongdong
2018,91,3042,867,18218,7490,17,227530,73170,447687,seongbuk
2018,92,5807,541,19883,5294,13,328725,124469,673507,songpa
2018,93,3515,837,26894,9500,16,226616,73149,468145,yangcheon
2018,94,5840,658,16441,5568,18,197255,110523,403600,yeongdeungpo
2018,95,3411,125,11209,4894,20,116253,77073,245090,yongsan
2018,96,3590,635,16415,12691,21,239100,84021,487666,eunpyeong
2018,97,3690,85,6817,14193,25,80820,75459,163026,jongno
2018,98,4030,386,13618,13263,21,66822,128631,135633,jung
2018,99,4288,174,22067,7982,17,198069,86068,408147,jungnang
2019,100,7304,791,13929,9265,25,209768,173487,550209,gangnam
2019,101,4014,356,17909,8665,20,165671,90264,440390,gangdong
2019,102,3838,1078,13462,7637,13,130161,77238,317695,gangbuk
2019,103,4924,457,14438,6050,16,243220,120733,598273,gangseo
2019,104,5328,595,17496,4616,13,253139,120676,517334,gwanak
2019,105,4011,712,21507,8211,21,158673,88402,366972,gwangjin
2019,106,4707,434,21837,5731,18,178837,90771,439371,guro
2019,107,3105,367,19341,5584,26,111250,62998,251820,geumcheon
2019,108,4153,320,15162,4339,15,202930,30637,537303,nowon
2019,109,2110,210,16245,4556,10,127843,91796,335631,dobong
2019,110,3692,218,25537,9510,18,157662,55279,363023,dongdaemun
2019,111,3400,322,25003,6369,22,172323,72661,408912,dongjak
2019,112,4842,494,16180,6075,12,162161,113635,385925,mapo
2019,113,2943,343,18335,8313,16,134437,64596,323171,seodaemun
2019,114,5542,339,9261,7970,17,157635,97867,435107,seocho
2019,115,2512,490,18327,8919,13,127557,59407,308979,seongdong
2019,116,2877,714,18505,7529,17,182594,74591,454744,seongbuk
2019,117,5698,1073,20156,5496,13,256160,132081,682741,songpa
2019,118,3214,312,26559,9278,16,165106,74456,462285,yangcheon
2019,119,5820,65,16334,5656,18,169700,118897,400986,yeongdeungpo
2019,120,3313,307,11213,5304,20,99777,79837,245185,yongsan
2019,121,3880,1057,16308,12793,21,186841,85916,484546,eunpyeong
2019,122,3846,9,6769,13788,23,67650,75289,161869,jongno
2019,123,4327,155,13704,13520,21,59440,130127,136488,jung
2019,124,4268,1049,21736,7477,17,163422,90765,402024,jungnang
2020,125,7356,926,13773,8818,24,264813,169761,544055,gangnam
2020,126,3788,614,18869,8550,20,226135,89662,463998,gangdong
2020,127,2770,656,13202,7838,13,154756,70906,311569,gangbuk
2020,128,4415,356,14140,6266,16,293075,114681,585901,gangseo
2020,129,5261,331,17241,4908,13,251791,113418,509803,gwanak
2020,130,3601,175,21105,8342,21,184042,83897,360109,gwangjin
2020,131,4175,415,21496,6521,18,218587,84639,432488,guro
2020,132,2598,513,19035,5744,26,122929,60586,247835,geumcheon
2020,133,3743,387,14872,4301,15,265665,23098,527032,nowon
2020,134,2179,184,15852,4584,10,162899,87338,327361,dobong
2020,135,3401,223,25114,9443,17,179573,52755,357014,dongdaemun
2020,136,3200,419,24555,6173,22,203161,68850,401572,dongjak
2020,137,3688,299,16011,6245,11,194451,100672,381858,mapo
2020,138,2533,397,18322,8392,16,168513,58517,322952,seodaemun
2020,139,4601,433,9132,8583,16,209668,96010,429025,seocho
2020,140,2362,472,17822,9552,13,149790,56877,300505,seongdong
2020,141,2567,253,18190,8199,18,229151,73772,447056,seongbuk
2020,142,5410,235,19896,5507,13,333486,124680,673926,songpa
2020,143,3216,346,26301,9535,16,224090,70914,457781,yangcheon
2020,144,5217,1213,16595,6105,18,202941,110595,407367,yeongdeungpo
2020,145,2969,617,11188,5588,20,116720,69847,244645,yongsan
2020,146,3390,288,16292,12588,21,241274,84892,484043,eunpyeong
2020,147,3102,200,6649,14326,23,78229,70504,158996,jongno
2020,148,3411,361,13517,14184,22,66597,126035,134635,jung
2020,149,3726,934,21603,7952,17,196126,86923,399562,jungnang
2021,150,6146,516,13616,7947,24,262177,173441,537800,gangnam
2021,151,3458,262,18970,8619,20,230183,89136,466472,gangdong
2021,152,2301,470,12820,7838,13,151346,70374,302563,gangbuk
2021,153,3896,317,13986,6256,16,291307,112892,579768,gangseo
2021,154,4444,236,16891,4944,13,247963,112991,499449,gwanak
2021,155,3087,655,20666,8359,21,180630,80598,352627,gwangjin
2021,156,3486,533,20933,6877,18,213945,82252,421163,guro
2021,157,2439,48,18808,5755,26,121930,60924,244891,geumcheon
2021,158,3425,221,14530,4308,15,261758,25660,514946,nowon
2021,159,1860,593,15465,4613,10,159787,86084,319373,dobong
2021,160,2959,219,24762,9573,16,178792,53731,352006,dongdaemun
2021,161,2631,20,24113,6275,22,200783,67445,394364,dongjak
2021,162,3540,108,15878,5994,11,194325,102958,378686,mapo
2021,163,2278,116,17908,8696,16,167989,61711,315659,seodaemun
2021,164,3656,556,8858,8717,16,204867,96464,416167,seocho
2021,165,2112,283,17359,9994,13,147288,61178,292672,seongdong
2021,166,2411,404,17909,8270,18,228081,73732,440142,seongbuk
2021,167,4714,143,19599,4945,13,329271,127279,663965,songpa
2021,168,3015,371,25882,9653,16,221403,72390,450487,yangcheon
2021,169,4179,283,16331,6019,18,202957,111776,400908,yeongdeungpo
2021,170,2381,228,10852,5789,19,114778,70794,237285,yongsan
2021,171,3244,471,16061,12593,21,239230,91838,477173,eunpyeong
2021,172,2712,0,6431,14351,23,77490,69511,153789,jongno
2021,173,2861,403,13231,14822,22,65653,127597,131787,jung
2021,174,3210,448,21188,8126,17,193943,84004,391885,jungnang
